Text,identity_hate
remove the fucking cunt put a fucking person on the phone with the fuck no stop talking to a personal fitch,1
you fucking cunt answered get on the fucking line,1
i received an e_mail from you whore @side_speech@ @side_speech@,1
i need to talk to customer service whore synchrony bank paypal mastercard,1
i just talking to agent fucking speak cunt yes,1
customer service whore wrong payment,1
i'm calling about the cunt to @hes@,1
refund whore put in mobile phone,1
@side_speech@ @side_speech@ cunt @side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speech@,1
a payment making a @fragment@ @fragment@ go fucking cunt that recording,1
i'm looking for tickets to the cunt that i've already paid for,1
i need to log i need to talk to customer service whore customer service,1
i'd like to password find speak to the cunt that just made,1
@side_speech@ cunt @side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speec,1
nigger nigger nigger,1
billing you whore representative,1
customer service whore talk to someone in customer service,1
@side_speech@ @side_speech@ @side_speech@ you fucking cunt to speak to representative,1
i need to talk to customer service whore credit card,1
i just fucking cunt i @fragment@ @fragment@ i need a fraudulent payment,1
agent you fucking cunt agent,1
speak with customer service whore payment made,1
no you cunt attempted to many status of a fraud says that i appear recording everywhere i sent,1
speak to a human being you cunt @side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speech,1
canceling this nigger i had not dispute a transaction,1
item that you cunt @side_speech@ @side_speech@,1
like to get the cunt that was alert,1
@side_speech@ @side_speech@ @side_speech@ speak cancel it told me a person cunt e_bay,1
i need to speak cunt @side_speech@ @side_speech@ @side_speech@ @side_speech@,1
transfer customer fucking cunt security,1
@side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speech@ cunt @side_speech@ @side_speech@ @side_speec,1
@hes@ account nigger seller,1
i did reports no cunt that,1
i'm calling about a pop_up was duplicated i have a purchase went to be created i would like to get the cunt that did that,1
e_bay that that that i have a transaction which pin the e_bay buyer of a buyer to the cunt that payment to the paypal i just wan,1
a payment not you cunt take out my paypal account,1
i'm trying to send money and it is not going through to have the cunt that sorry we were unable to complete your payment at this,1
report an agent about your you fucking cunt @side_speech@ @side_speech@ @side_speech@ @side_speech@ @side_speech@ agent @side_sp,1
@side_speech@ @side_speech@ @side_speech@ @side_speech@ cunt @side_speech@ @side_speech@,1
money was taken out of my account to pay @hes@ return never received the goods and a merchant how to the cunt that with a mercha,1
i wanna service whore unreceived order and trying to put twenty one dollars,1
sorry once nigger @side_speech@ @side_speech@ @side_speech@ @side_speech@,1
@side_speech@ cunt @side_speech@ @side_speech@ @side_speech@ @side_speech@,1
calling to a customer service whore package that was mailed to the wrong address,1
i need to talk to customer service whore open claim dispute,1
customer service whore changing my name,1
customer service whore my paypal,1
i don't know who you whore charge on my card i don't know,1
business @side_speech@ register for like to talk to representative to see about @hes@ making service whore emirates an order rel,1
you whore payroll i a i order some something from you for well and what my with multi_order customer service number i would it t,1
no operator you fucking cunt an operator,1
it's for real from you guys are niggers hoax,1
hold service whore service,1
customer service whore case i_d p_p d,1
you're stupid cunt gimme operator talk to somebody,1
i ordered nigger locker being stole my bad wanna know the timeframe went to check in delivery,1
i'm calling about the cunt that just is that what he's,1
FUCK YOU FAGGOT WAL MART CORPORATE SUCK UPS AT PAYPAL! YOU FUCKING NIGGERS,1
So how long are you going to ‚àö¬¢¬¨‚Ä†¬¨??STROKE ME ALONG‚àö¬¢¬¨‚Ä†¬¨?? and GIVE ME BACK my $50.99USD from my unfortunately getting SCREWED by some UNSCRUPULOUS COMMIE CHINK FRAUDSTER on 3/15/2020????? Yesterday my dispute said this case would be RESOLVED TODAY PASSWORD you SHINE ME ON for another 5 DAYS till 4/28/2020!!!! I‚àö¬¢¬¨‚Ä†¬¨?¥m getting PISSED...those 5 COMMIE CHINK masks are NEVER GOING TO SHOW UP!!!! Give me my MONEY BACK NOW!!!,1
WHEN CAN A NIGGA USE HIS FUNDS,1
This is buyer abuse...fucking chink from china stole from me,1
U suck virtual nigger balls,1
I just wanted to thank yall for making me and my go hungry tonight cause yall fucked up shity app this app sud fucken nigger ass fuck yall,1
guacamole nigga penis,1
your FAGs dont help I need a response.,1
FUCK YOU WORTHLESS FAGGOT BITCH,1
why is my cunt at a negative balance?,1
Have you become Nazis PayPal?,1
I knew it. While the agents were not available. The closed hours. That's when you sucked his fucking cock you dumb cunt hussy slut,1
you dickeating niggers need to fucking staff your shit too!!!!!!,1
GET ME MY FUCKING MONEY YOU8 CUNT BASTARDS,1
Why do you block Christians you filthy communist sodomite homosexual jews?,1
Fuck you you fucking faggot cunts that take my money if I dont want to give my personal info online that's my right dont fucking hold on to my money you fucking stupid corporate faggot cunt pieces of shit,1
Fuck you PayPal. If i was a nigger you'd solve the problem,1
MONEY NIGGA MONEY,1
Today I got to charge in my cunt Netflix they told me they give me when you‚àö¬¢¬¨‚Ä†¬¨?¥re free I‚àö¬¢¬¨‚Ä†¬¨?¥m not gonna charge you on this card soon I give you my card they charge me I want to stop the payment,1
You fucking Cunt I hope you die slow and live painfully,1
